id,volume,count
183,86245.50000000033,350
184,273159636.85000056,2650
185,86245.50000000033,350
186,273159636.85000056,2650
187,117851791.94999887,3150
188,224792484.89999866,3150
189,166018435.23999882,2600
190,622701206.6199986,2800
191,661012401.700002,2750
193,528553043.3199965,2800
195,661012401.700002,2750
196,223885889.54999718,2800
197,1130918347.5499988,8250
202,622134711.9999993,2750
203,415086565.89999425,2700
205,71064.50000000035,350
206,701667397.2499993,5450
207,639836921.9000043,5500
208,601537495.2999976,2750
209,415086565.89999425,2700
215,287047384.7999987,3500
216,273159636.85000056,2650
217,213925340.99999806,2800
219,137362.4999999998,350
221,137362.4999999998,350
223,117714429.4499985,2800
224,224750355.9999997,2800
227,661012401.700002,2750
229,492092792.0000058,2750
232,223885889.54999718,2800
239,415086565.89999425,2700
242,105503595.40000153,2700
251,137362.4999999998,350
253,438675696.99999315,5600
256,622701206.6199986,2800
259,528553043.3199965,2800
263,242162998.4500007,2750
265,492092792.0000058,2750
268,622134711.9999993,2750
274,601537495.2999976,2750
281,286823776.7999996,2800
282,406963152.8699925,2750
283,406963152.8699925,2750
285,190240307.57000044,2600
286,190240307.57000044,2600
289,479144542.87000513,5450
290,361430113.4199999,2650
293,14018.599999999966,350
294,798566336.8199916,3150
295,798552318.2199956,2800
298,223885889.54999718,2800
299,24096.70000000005,350
300,247768302.54999778,3150
301,247744205.8499985,2800
306,173065836.899999,3150
307,166060564.13999856,2950
308,271522030.6400001,5300
312,173023708.00000003,2800
315,227742947.40000424,2750
316,227742947.40000424,2750
319,213925340.99999806,2800
320,406963152.8699925,2750
323,190311372.0700004,2950
324,596234866.3499926,3100
325,596163801.8499916,2750
327,361430113.4199999,2650
331,492106810.6000062,3100
332,798552318.2199956,2800
333,86245.50000000033,350
334,273245882.3500004,3000
335,273159636.85000056,2650
337,24096.70000000005,350
338,247744205.8499985,2800
344,42128.90000000002,350
345,827030836.9400034,5350
346,661012401.700002,2750
574,492092792.0000058,2750
353,227742947.40000424,2750
357,415086565.89999425,2700
358,822049718.7700067,5450
145,38115.300000000025,700
361,190311372.0700004,2950
362,596163801.8499916,2750
365,361430113.4199999,2650
367,224750355.9999997,2800
369,151381.09999999995,700
370,798689680.7199986,3150
371,86245.50000000033,350
372,273159636.85000056,2650
373,622701206.6199986,2800
375,24096.70000000005,350
376,1398998455.79001,8400
379,528553043.3199965,2800
380,466913354.45001066,5550
382,42128.90000000002,350
383,1069193835.390012,8100
385,622134711.9999993,2750
386,224750355.9999997,2800
388,622134711.9999993,2750
391,829280442.6999774,5500
393,622701206.6199986,2800
394,601537495.2999976,2750
395,415086565.89999425,2700
396,528553043.3199965,2800
398,286823776.7999996,2800
399,71064.50000000035,350
400,838326800.3000066,5500
401,286823776.7999996,2800
405,622134711.9999993,2750
406,117714429.4499985,2800
407,224887718.49999967,3150
409,117800674.94999869,3150
410,273159636.85000056,2650
411,601537495.2999976,2750
415,223885889.54999718,2800
417,622701206.6199986,2800
418,510709666.3500016,5600
420,528553043.3199965,2800
421,661012401.700002,2750
424,242162998.4500007,2750
425,105503595.40000153,2700
426,740415636.069997,5600
428,105503595.40000153,2700
429,1150687755.3200085,5550
433,657249564.3500192,5450
435,825423384.849979,5550
436,213925340.99999806,2800
438,622134711.9999993,2750
439,213925340.99999806,2800
442,286823776.7999996,2800
444,601537495.2999976,2750
445,105640957.90000153,3050
448,492092792.0000058,2750
450,117714429.4499985,2800
451,778916568.8000021,5550
456,213925340.99999806,2800
459,341600318.99999946,5600
468,715978681.5499974,5550
469,105503595.40000153,2700
473,622701206.6199986,2800
476,753303399.3200027,5600
478,105503595.40000153,2700
480,456088339.44999397,5550
485,622134711.9999993,2750
489,213925340.99999806,2800
491,601537495.2999976,2750
492,492092792.0000058,2750
498,286823776.7999996,2800
499,622701206.6199986,2800
501,492092792.0000058,2750
502,528553043.3199965,2800
506,359877427.9000026,5550
511,622134711.9999993,2750
